ID,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
68,6.57 ,6.25 ,6.19 ,6.65 ,6.28 ,6.14 
69,6.56 ,5.96 ,5.78 ,6.37 ,5.91 ,5.92 
70,6.56 ,5.95 ,5.99 ,6.24 ,6.04 ,5.99 
71,6.18 ,6.00 ,6.01 ,6.05 ,6.01 ,6.00 
72,6.55 ,5.85 ,5.72 ,6.19 ,5.99 ,5.90 
73,6.43 ,5.88 ,5.92 ,6.26 ,5.97 ,5.82 
74,6.77 ,6.09 ,6.05 ,6.23 ,5.94 ,5.94 
75,6.36 ,6.08 ,6.05 ,6.29 ,6.01 ,5.83 
76,6.41 ,5.96 ,5.90 ,6.16 ,6.08 ,6.08 
77,6.45 ,5.97 ,6.01 ,6.16 ,5.93 ,5.92 
78,6.91 ,5.37 ,5.35 ,6.27 ,5.64 ,5.62 
79,6.52 ,5.48 ,5.58 ,6.29 ,6.28 ,6.20 
80,5.83 ,5.26 ,5.61 ,5.76 ,5.49 ,5.66 
81,6.29 ,5.88 ,5.94 ,6.32 ,6.34 ,6.67 
82,5.98 ,5.42 ,6.09 ,5.94 ,6.05 ,6.54 
83,6.04 ,5.70 ,6.24 ,6.12 ,6.29 ,6.71 
84,6.13 ,5.47 ,5.43 ,6.00 ,5.84 ,5.78 
85,6.18 ,5.50 ,5.95 ,5.93 ,5.93 ,6.18 
86,6.22 ,5.34 ,5.56 ,6.15 ,6.16 ,6.20 
87,6.18 ,5.84 ,6.01 ,6.33 ,6.39 ,6.51 
88,5.98 ,5.45 ,5.86 ,5.89 ,5.79 ,6.16 
89,6.21 ,5.41 ,5.94 ,5.94 ,5.71 ,6.43 
90,6.47 ,6.00 ,5.83 ,6.59 ,6.44 ,6.41 
91,6.33 ,5.99 ,5.84 ,6.59 ,6.35 ,6.07 
92,6.33 ,6.04 ,5.88 ,6.35 ,6.89 ,5.66 
93,6.38 ,6.01 ,5.85 ,6.31 ,5.93 ,6.17 
94,6.35 ,6.01 ,5.85 ,6.20 ,6.04 ,6.02 
95,6.35 ,6.02 ,5.86 ,6.17 ,6.34 ,6.44 
96,6.42 ,6.01 ,5.87 ,6.48 ,6.12 ,6.02 
97,6.51 ,6.03 ,5.82 ,6.32 ,6.19 ,5.86 
98,6.57 ,5.87 ,5.21 ,6.21 ,5.67 ,5.24 
99,6.68 ,5.56 ,5.11 ,6.22 ,6.16 ,5.50 
100,6.73 ,5.78 ,5.41 ,6.73 ,6.06 ,5.66 
101,6.90 ,5.65 ,5.37 ,5.99 ,5.98 ,5.59 
102,6.14 ,5.70 ,5.42 ,6.01 ,6.01 ,5.88 
103,6.59 ,5.64 ,5.21 ,6.22 ,5.95 ,5.45 
104,6.88 ,5.54 ,5.40 ,6.23 ,5.83 ,5.61 
105,6.53 ,5.47 ,5.06 ,6.33 ,5.95 ,5.63 
106,6.72 ,5.63 ,5.40 ,6.07 ,6.34 ,6.13 
107,6.64 ,5.41 ,5.05 ,6.10 ,5.76 ,5.58 
108,6.67 ,5.34 ,5.18 ,6.38 ,5.56 ,5.48 
109,6.57 ,5.85 ,5.45 ,6.64 ,6.24 ,6.13 
110,6.30 ,5.57 ,5.41 ,6.21 ,6.01 ,6.06 
111,6.86 ,5.94 ,5.60 ,6.21 ,5.67 ,5.74 
112,6.91 ,5.46 ,5.11 ,6.63 ,5.47 ,5.47 
113,6.39 ,5.66 ,5.61 ,6.28 ,6.13 ,6.17 
114,6.08 ,5.66 ,5.69 ,5.92 ,5.87 ,5.88 
115,6.12 ,5.81 ,5.94 ,6.37 ,6.34 ,6.48 
116,6.33 ,5.83 ,5.96 ,6.06 ,6.23 ,6.32 
117,6.48 ,5.65 ,5.71 ,5.90 ,6.10 ,6.26 
118,6.17 ,5.76 ,5.77 ,5.78 ,6.06 ,6.20 
119,6.52 ,6.05 ,5.82 ,6.18 ,6.53 ,6.66 
120,6.11 ,5.62 ,5.60 ,5.67 ,5.77 ,5.73 
121,5.93 ,5.68 ,5.71 ,5.77 ,5.83 ,5.83 
122,6.86 ,5.75 ,5.71 ,5.90 ,5.80 ,5.83 
123,6.77 ,5.51 ,5.48 ,5.89 ,5.76 ,5.74 
124,6.65 ,5.64 ,5.66 ,6.31 ,6.28 ,6.30 
125,6.16 ,5.57 ,5.57 ,5.95 ,5.86 ,5.80 
126,6.34 ,5.80 ,5.79 ,6.17 ,5.89 ,5.87 
127,6.38 ,5.74 ,5.77 ,6.18 ,5.74 ,5.75 
128,6.42 ,5.77 ,5.79 ,6.23 ,6.03 ,6.03 
129,6.12 ,5.73 ,5.77 ,5.63 ,5.74 ,5.74 
130,6.50 ,5.68 ,5.73 ,5.90 ,5.91 ,5.89 
131,6.57 ,5.67 ,5.71 ,6.57 ,5.80 ,5.85 
132,6.92 ,5.59 ,5.65 ,6.28 ,5.67 ,5.69 
133,6.96 ,5.73 ,5.78 ,6.44 ,5.92 ,5.94 
134,6.71 ,5.80 ,5.81 ,6.38 ,5.90 ,5.92 
135,6.40 ,5.70 ,5.71 ,6.26 ,5.80 ,5.78 
136,6.66 ,5.68 ,5.71 ,6.51 ,6.06 ,6.11 
137,6.48 ,5.68 ,5.76 ,6.36 ,5.86 ,5.94 
138,6.46 ,5.63 ,5.63 ,6.17 ,5.79 ,5.77 
139,6.31 ,5.65 ,5.68 ,6.31 ,5.77 ,5.80 
140,6.62 ,5.73 ,5.68 ,6.06 ,5.78 ,5.77 
141,6.50 ,5.74 ,5.78 ,5.75 ,5.88 ,5.86 
142,6.33 ,5.69 ,5.71 ,6.13 ,5.81 ,5.81 
143,6.46 ,5.69 ,5.69 ,6.53 ,5.79 ,5.81 
144,6.13 ,5.73 ,5.68 ,6.02 ,5.83 ,5.86 
145,6.71 ,5.71 ,5.68 ,5.80 ,5.78 ,5.80 
146,6.55 ,5.76 ,5.83 ,6.43 ,6.01 ,6.12 
147,6.09 ,5.70 ,5.73 ,5.73 ,5.85 ,5.83 
148,6.54 ,5.67 ,5.74 ,6.24 ,5.81 ,5.87 
149,6.41 ,5.66 ,5.75 ,6.09 ,5.77 ,5.94 
150,6.64 ,5.70 ,5.78 ,6.06 ,6.12 ,6.02 
151,6.44 ,5.65 ,5.76 ,5.77 ,5.86 ,5.82 
152,6.26 ,5.56 ,5.70 ,5.96 ,5.76 ,5.72 
153,6.50 ,5.65 ,5.72 ,5.74 ,5.75 ,5.74 
154,6.12 ,5.75 ,5.86 ,5.92 ,5.95 ,5.93 
155,6.16 ,5.78 ,5.78 ,5.84 ,5.71 ,5.78 
156,6.63 ,5.44 ,5.67 ,6.16 ,5.64 ,5.89 
157,6.55 ,5.55 ,5.87 ,6.37 ,5.67 ,5.96 
158,6.53 ,5.52 ,5.78 ,6.17 ,5.87 ,6.15 
159,6.16 ,5.69 ,5.91 ,6.03 ,5.62 ,5.86 
160,6.29 ,5.47 ,5.78 ,6.20 ,5.89 ,6.31 
161,6.32 ,5.93 ,6.19 ,6.13 ,6.69 ,6.85 
162,6.12 ,5.68 ,5.86 ,6.05 ,6.17 ,6.44 
163,6.38 ,5.81 ,5.73 ,6.23 ,6.35 ,6.35 
164,5.96 ,5.44 ,5.74 ,5.89 ,5.78 ,6.38 
165,6.22 ,5.54 ,5.81 ,6.06 ,5.72 ,5.99 
166,6.22 ,5.83 ,5.79 ,6.31 ,5.59 ,6.66 
167,6.55 ,5.44 ,5.77 ,6.18 ,5.74 ,5.99 
168,6.09 ,5.39 ,5.78 ,6.17 ,5.48 ,5.93 
169,5.94 ,5.54 ,5.68 ,5.95 ,5.25 ,6.02 
170,5.97 ,5.33 ,5.89 ,6.46 ,5.81 ,6.40 
171,6.22 ,5.52 ,5.64 ,6.26 ,5.79 ,6.15 
172,6.17 ,5.46 ,5.76 ,6.15 ,5.70 ,5.91 
173,6.09 ,5.73 ,5.59 ,6.29 ,6.05 ,5.83 
174,5.91 ,5.67 ,5.62 ,6.47 ,6.12 ,5.97 
175,6.09 ,5.19 ,6.02 ,5.73 ,5.62 ,6.48 
176,6.12 ,5.60 ,5.70 ,5.91 ,5.48 ,6.00 
177,5.99 ,5.28 ,5.66 ,6.37 ,5.74 ,5.84 
178,5.47 ,5.23 ,5.61 ,6.15 ,5.72 ,5.76 
179,6.27 ,5.76 ,5.63 ,6.28 ,5.73 ,5.81 
180,5.80 ,5.18 ,5.83 ,6.23 ,5.77 ,5.92 
181,6.19 ,5.21 ,5.63 ,6.18 ,5.73 ,6.11 
182,6.22 ,5.62 ,5.64 ,6.01 ,5.67 ,5.79 
183,6.24 ,5.55 ,5.91 ,6.51 ,5.89 ,5.98 
184,6.30 ,5.29 ,5.70 ,6.41 ,5.86 ,6.35 
185,6.35 ,6.01 ,5.71 ,6.91 ,6.11 ,5.90 
186,6.66 ,6.26 ,5.77 ,6.48 ,6.82 ,6.53 
187,6.45 ,6.24 ,5.58 ,6.53 ,6.40 ,6.16 
188,5.94 ,5.49 ,5.68 ,6.05 ,5.73 ,5.82 
189,6.03 ,5.67 ,5.79 ,6.31 ,5.92 ,6.12 
190,6.13 ,5.66 ,5.72 ,6.15 ,5.77 ,5.83 
191,6.22 ,5.83 ,5.86 ,6.43 ,6.30 ,6.24 
192,6.16 ,5.65 ,5.72 ,6.18 ,5.81 ,5.86 
193,6.13 ,5.61 ,5.72 ,6.27 ,5.81 ,5.98 
194,6.80 ,6.03 ,6.44 ,6.86 ,6.56 ,6.73 
195,6.17 ,5.51 ,5.73 ,6.75 ,6.51 ,6.67 
196,6.19 ,5.76 ,5.84 ,6.33 ,5.89 ,5.99 
197,7.04 ,5.37 ,5.69 ,6.98 ,5.82 ,6.02 
198,6.50 ,5.73 ,5.75 ,6.89 ,6.95 ,6.88 
199,6.54 ,5.81 ,5.68 ,6.73 ,6.38 ,6.23 
200,6.56 ,5.46 ,5.65 ,6.55 ,6.10 ,6.29 
201,6.50 ,6.15 ,6.10 ,6.78 ,7.05 ,6.97 
202,6.77 ,5.90 ,5.66 ,6.76 ,5.73 ,5.88 
203,6.14 ,5.72 ,5.66 ,6.58 ,6.44 ,6.51 
204,6.20 ,5.82 ,5.70 ,6.43 ,6.63 ,6.48 
205,6.19 ,5.95 ,5.84 ,6.88 ,6.25 ,6.07 
206,6.20 ,6.03 ,5.61 ,6.60 ,6.25 ,5.84 
208,6.09 ,5.71 ,5.70 ,6.00 ,5.80 ,5.70 
209,6.20 ,5.88 ,5.86 ,6.58 ,6.34 ,6.48 
210,6.33 ,6.07 ,6.17 ,6.79 ,6.58 ,6.63 
211,6.25 ,5.71 ,6.02 ,6.49 ,5.89 ,6.22 
212,6.19 ,5.41 ,5.79 ,6.38 ,5.73 ,5.92 
213,6.33 ,5.58 ,5.86 ,6.65 ,6.33 ,6.38 
214,6.24 ,5.52 ,5.86 ,6.58 ,6.03 ,6.25 
215,6.31 ,5.86 ,5.85 ,6.49 ,5.81 ,5.95 
216,6.25 ,5.66 ,5.75 ,6.67 ,6.28 ,6.44 
217,6.26 ,5.78 ,5.89 ,6.87 ,6.61 ,6.66 
218,6.41 ,6.09 ,6.28 ,6.50 ,6.25 ,6.34 
220,6.72 ,5.67 ,5.66 ,6.58 ,5.44 ,5.89 
221,6.44 ,5.43 ,5.79 ,5.97 ,5.53 ,5.80 
222,6.43 ,5.76 ,5.74 ,6.45 ,5.91 ,5.96 
223,6.44 ,5.58 ,5.89 ,6.47 ,5.75 ,5.93 
224,6.51 ,5.39 ,5.65 ,6.23 ,5.61 ,5.85 
225,6.13 ,5.58 ,5.84 ,6.09 ,5.84 ,6.20 
226,6.20 ,5.52 ,5.82 ,6.33 ,5.62 ,5.87 
227,6.32 ,5.47 ,5.77 ,6.13 ,5.67 ,5.94 
228,6.32 ,5.46 ,5.51 ,5.98 ,5.63 ,5.86 
229,6.00 ,5.62 ,5.67 ,6.23 ,5.66 ,5.71 
230,6.00 ,5.44 ,5.68 ,5.82 ,5.61 ,5.61 
231,5.96 ,5.40 ,5.47 ,5.41 ,5.48 ,5.56 
232,6.57 ,5.53 ,5.64 ,6.05 ,5.52 ,5.90 
233,5.43 ,5.34 ,5.41 ,5.32 ,5.46 ,5.51 
234,6.03 ,5.53 ,5.50 ,5.97 ,5.53 ,5.53 
235,5.93 ,5.54 ,5.51 ,6.11 ,5.78 ,5.76 
236,5.94 ,5.49 ,5.53 ,6.49 ,5.59 ,5.65 
237,5.86 ,5.50 ,5.58 ,5.54 ,5.56 ,5.65 
238,5.78 ,5.53 ,5.58 ,5.52 ,6.11 ,5.67 
239,6.52 ,5.61 ,5.59 ,6.52 ,5.63 ,5.63 
240,6.63 ,5.60 ,5.71 ,5.57 ,5.57 ,5.65 
241,5.46 ,5.44 ,5.43 ,5.48 ,5.62 ,5.60 
242,5.86 ,5.49 ,5.58 ,5.81 ,5.70 ,5.74 
243,5.11 ,5.47 ,5.65 ,5.94 ,5.75 ,5.87 
245,5.65 ,5.48 ,5.54 ,5.72 ,5.57 ,5.66 
246,6.80 ,5.66 ,5.69 ,6.01 ,5.85 ,5.83 
247,6.16 ,5.56 ,5.56 ,5.40 ,5.62 ,5.66 
248,6.33 ,5.63 ,5.63 ,5.78 ,5.63 ,5.64 
249,6.35 ,5.59 ,5.57 ,203.33 ,5.76 ,5.61 
250,6.04 ,5.63 ,5.51 ,6.05 ,5.70 ,5.68 
251,6.27 ,5.57 ,5.54 ,6.05 ,5.79 ,5.51 
252,5.35 ,5.44 ,5.40 ,5.34 ,5.53 ,5.55 
253,6.56 ,5.36 ,5.37 ,5.78 ,5.55 ,5.51 
254,5.90 ,5.46 ,5.49 ,5.79 ,5.77 ,5.80 
255,5.96 ,5.49 ,5.44 ,5.39 ,5.48 ,5.49 
256,6.45 ,5.51 ,5.46 ,5.70 ,5.54 ,5.48 
257,5.57 ,5.57 ,5.42 ,5.90 ,5.74 ,5.79 
258,5.38 ,5.45 ,5.42 ,5.71 ,5.78 ,5.82 
259,6.09 ,5.48 ,5.56 ,5.57 ,5.58 ,5.66 
260,5.27 ,5.41 ,5.40 ,5.59 ,5.67 ,5.78 
261,6.30 ,5.44 ,5.41 ,5.88 ,5.60 ,5.63 
262,5.88 ,5.58 ,5.57 ,6.32 ,6.41 ,6.46 
263,6.18 ,5.51 ,5.52 ,6.21 ,6.33 ,6.40 
304,6.34 ,5.52 ,5.50 ,5.80 ,5.71 ,5.77 
305,6.27 ,5.38 ,5.46 ,6.03 ,5.86 ,5.87 
306,6.10 ,5.49 ,5.49 ,5.96 ,5.76 ,5.85 
307,6.52 ,5.56 ,5.54 ,6.56 ,6.19 ,6.30 
308,6.39 ,5.44 ,5.46 ,6.14 ,5.95 ,5.95 
309,6.71 ,5.48 ,5.59 ,6.15 ,5.91 ,5.99 
310,6.33 ,5.51 ,5.56 ,5.95 ,5.62 ,5.67 
311,6.22 ,5.59 ,5.92 ,6.30 ,6.39 ,6.52 
312,6.49 ,5.48 ,5.56 ,6.16 ,5.61 ,5.77 
313,6.51 ,5.57 ,5.63 ,6.41 ,6.44 ,6.52 
314,6.42 ,5.40 ,5.45 ,6.34 ,5.62 ,5.63 
315,5.95 ,5.40 ,5.51 ,6.02 ,5.70 ,5.82 
316,6.63 ,5.39 ,5.54 ,6.32 ,5.97 ,6.23 
317,6.63 ,5.50 ,5.55 ,6.52 ,5.68 ,5.73 
318,6.26 ,5.43 ,5.48 ,6.21 ,5.49 ,5.60 
319,6.00 ,5.35 ,5.42 ,6.06 ,5.91 ,5.94 
320,6.02 ,5.38 ,5.40 ,6.00 ,5.57 ,5.63 
321,6.14 ,5.40 ,5.50 ,5.91 ,5.49 ,5.56 
322,6.13 ,5.42 ,5.49 ,6.31 ,5.81 ,6.13 
323,5.93 ,5.41 ,5.48 ,5.93 ,5.44 ,5.52 
324,6.39 ,5.42 ,5.47 ,6.07 ,5.64 ,5.65 
325,6.65 ,5.44 ,5.52 ,6.64 ,5.60 ,5.66 
326,6.81 ,5.48 ,5.54 ,6.56 ,5.66 ,5.83 
327,6.76 ,5.41 ,5.51 ,6.51 ,5.74 ,5.76 
328,6.62 ,5.42 ,5.45 ,6.40 ,5.64 ,5.70 
329,6.80 ,5.51 ,5.52 ,6.24 ,5.52 ,5.57 
330,6.18 ,5.45 ,5.50 ,6.22 ,5.48 ,5.56 
331,6.48 ,5.44 ,5.49 ,6.18 ,5.61 ,5.69 
332,6.60 ,5.53 ,5.57 ,6.60 ,5.63 ,5.79 
333,6.48 ,5.43 ,5.49 ,6.58 ,5.60 ,5.66 
334,6.79 ,6.02 ,5.92 ,6.57 ,6.53 ,6.37 
335,6.57 ,5.52 ,5.50 ,6.35 ,5.95 ,5.92 
336,6.72 ,5.60 ,5.53 ,6.66 ,5.92 ,5.81 
337,6.50 ,5.50 ,5.46 ,6.39 ,6.21 ,6.08 
338,6.79 ,5.86 ,5.75 ,6.29 ,6.33 ,6.22 
339,6.50 ,5.75 ,5.67 ,6.34 ,6.32 ,6.15 
340,6.44 ,5.56 ,5.57 ,6.63 ,5.89 ,5.77 
341,6.64 ,5.59 ,5.49 ,6.42 ,6.56 ,6.41 
342,6.49 ,5.60 ,5.54 ,6.40 ,6.50 ,6.37 
343,6.45 ,5.67 ,5.62 ,6.44 ,6.12 ,6.01 
344,6.60 ,5.74 ,5.64 ,6.27 ,6.30 ,6.15 
345,6.39 ,5.50 ,5.46 ,6.15 ,6.33 ,6.16 
346,6.25 ,5.58 ,5.51 ,6.11 ,6.01 ,5.99 
347,6.35 ,5.61 ,5.58 ,6.29 ,6.47 ,6.38 
348,6.53 ,5.57 ,5.50 ,6.28 ,6.35 ,6.22 
349,6.34 ,5.73 ,5.69 ,6.23 ,6.45 ,6.32 
350,6.44 ,5.59 ,5.52 ,6.47 ,6.52 ,6.26 
351,6.42 ,5.89 ,5.80 ,6.39 ,6.54 ,6.50 
352,6.49 ,5.79 ,5.68 ,6.85 ,6.95 ,6.72 
353,6.63 ,5.55 ,5.50 ,6.30 ,6.09 ,5.97 
354,6.81 ,5.54 ,5.41 ,6.08 ,5.56 ,5.53 
355,6.50 ,5.59 ,5.49 ,6.40 ,6.09 ,5.99 
356,6.62 ,5.69 ,5.61 ,6.54 ,6.20 ,6.00 
357,6.54 ,5.57 ,5.48 ,6.57 ,5.72 ,5.65 
358,6.53 ,5.56 ,5.50 ,6.30 ,5.72 ,5.67 
359,6.56 ,5.55 ,5.52 ,6.53 ,5.72 ,5.60 
360,5.85 ,5.68 ,5.66 ,6.23 ,6.46 ,6.30 
361,6.29 ,5.57 ,5.48 ,6.39 ,6.36 ,6.14 
362,6.49 ,5.78 ,5.73 ,6.15 ,6.02 ,5.86 
363,6.42 ,5.58 ,5.51 ,6.18 ,5.83 ,5.78 
364,6.73 ,6.38 ,6.36 ,6.62 ,6.38 ,6.20 
365,6.77 ,6.03 ,5.92 ,6.73 ,6.59 ,6.41 
366,6.90 ,5.67 ,5.58 ,6.61 ,5.75 ,5.67 
367,6.47 ,5.55 ,5.50 ,6.07 ,5.74 ,5.70 
368,6.67 ,5.61 ,5.53 ,6.32 ,5.90 ,5.83 
369,6.60 ,5.61 ,5.52 ,6.36 ,5.96 ,5.92 
370,6.61 ,5.55 ,5.48 ,6.55 ,5.66 ,5.58 
371,6.45 ,5.72 ,5.73 ,6.10 ,6.27 ,6.19 
372,6.51 ,5.45 ,5.40 ,6.08 ,6.10 ,5.92 
373,6.52 ,5.71 ,5.65 ,6.29 ,6.28 ,6.16 
374,6.60 ,5.58 ,5.56 ,6.36 ,6.05 ,5.98 
375,6.54 ,5.78 ,5.71 ,6.42 ,6.45 ,6.23 
376,6.73 ,5.85 ,5.72 ,6.54 ,6.25 ,6.14 
377,6.46 ,5.48 ,5.44 ,6.00 ,5.68 ,5.62 
378,6.52 ,5.52 ,5.46 ,6.04 ,5.63 ,5.57 
379,6.58 ,5.54 ,5.48 ,6.51 ,5.65 ,5.58 
380,6.51 ,5.68 ,5.60 ,6.26 ,6.14 ,6.05 
381,6.51 ,5.81 ,5.72 ,6.32 ,6.14 ,6.03 
382,6.51 ,5.69 ,5.57 ,6.25 ,6.42 ,6.23 
383,6.55 ,5.73 ,5.65 ,6.18 ,5.81 ,5.76 
384,6.85 ,5.65 ,5.62 ,6.27 ,5.49 ,5.49 
385,6.68 ,5.63 ,5.53 ,6.64 ,6.20 ,6.20 
386,6.88 ,5.53 ,5.42 ,6.17 ,5.49 ,5.47 
387,6.71 ,5.83 ,5.73 ,6.54 ,6.42 ,6.37 
388,5.85 ,5.52 ,5.51 ,6.08 ,6.26 ,6.54 
389,5.77 ,5.49 ,5.40 ,5.91 ,5.60 ,5.50 
390,5.85 ,5.49 ,5.44 ,5.86 ,5.54 ,5.51 
391,5.88 ,5.65 ,5.56 ,5.66 ,5.82 ,5.89 
392,6.04 ,5.49 ,5.47 ,5.85 ,6.07 ,6.06 
393,5.97 ,5.89 ,5.81 ,6.32 ,6.23 ,6.24 
394,6.00 ,5.73 ,5.78 ,5.92 ,5.92 ,6.28 
395,6.14 ,5.83 ,5.79 ,6.12 ,5.84 ,5.77 
396,6.32 ,6.04 ,5.99 ,6.24 ,6.32 ,6.32 
397,5.90 ,5.56 ,5.76 ,6.42 ,6.52 ,6.56 
398,6.22 ,5.51 ,5.66 ,5.99 ,6.00 ,6.14 
399,6.00 ,5.80 ,5.80 ,6.48 ,6.65 ,6.55 
400,6.01 ,5.72 ,5.71 ,6.01 ,5.83 ,5.85 
401,6.14 ,6.00 ,5.83 ,5.92 ,5.77 ,5.74 
402,6.15 ,6.64 ,5.44 ,6.34 ,6.28 ,6.30 
403,6.07 ,5.53 ,5.40 ,6.21 ,5.70 ,5.70 
404,5.72 ,5.72 ,5.62 ,6.27 ,6.15 ,6.15 
405,5.75 ,5.75 ,5.64 ,6.47 ,5.66 ,5.60 
406,6.26 ,5.67 ,5.55 ,6.48 ,5.92 ,5.97 
407,6.44 ,5.56 ,5.32 ,5.87 ,5.47 ,5.42 
408,6.53 ,5.56 ,5.44 ,6.10 ,5.56 ,5.63 
409,6.71 ,5.72 ,5.35 ,5.81 ,5.73 ,5.68 
410,6.80 ,5.55 ,5.43 ,6.07 ,5.67 ,5.54 
411,6.46 ,5.55 ,5.49 ,6.09 ,6.17 ,6.14 
412,6.18 ,5.54 ,5.45 ,5.66 ,5.57 ,5.47 
413,6.40 ,5.50 ,5.47 ,5.92 ,5.78 ,5.79 
414,6.57 ,5.58 ,5.43 ,5.90 ,5.86 ,5.68 
415,6.46 ,5.58 ,5.56 ,6.03 ,5.64 ,5.58 
416,6.58 ,5.56 ,5.59 ,6.28 ,5.70 ,5.67 
417,6.34 ,5.92 ,5.99 ,6.42 ,6.39 ,6.39 
418,6.64 ,5.63 ,5.48 ,6.04 ,5.91 ,5.74 
419,6.01 ,5.48 ,5.47 ,6.03 ,5.98 ,5.98 
